License Number,Business Name,DBA/Trade Name,business_id,Business Category,License Type,License Status,Initial Issuance Date,Expiration Date,license_city,license_state,license_zip,complaint_id,created_date,closed_date,complaint_type,descriptor,incident_address,incident_zip,complaint_address_type,status,resolution_description,complaint_count,eviction_count
2052327-DCA,"BOWEN, ALVIN",REJUVENATION RESTORATION,BA-1001192-2022,Home Improvement Contractor,Premises,Expired,05/03/2017,02/28/2023,BROOKLYN,NY,11212,,,,,,,,,,,0,7
2012302-DCA,"ABRAFI-AKOTO, COMFORT & AKOTO, NANA, B.",BIG TEAM VENTURES IMPORT AND EXPORT RETAIL,BA-1004219-2022,Electronics Store,Premises,Expired,08/21/2014,12/31/2024,BRONX,NY,10451,64610776,2025-04-10T15:29:29.000,2025-04-14T20:37:29.000,GENERAL,CABINET,295 EAST  149 STREET,10451,ADDRESS,Closed,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",26,0
2031561-2-DCA,ALAN'S DELI GROCERY CORP.,,BA-1010982-2022,Tobacco Retail Dealer,Premises,Active,12/21/2015,12/31/2026,BRONX,NY,10452,64320260,2025-03-11T13:14:35.000,2025-03-12T18:12:07.000,PAINT/PLASTER,WALL,1246 SHAKESPEARE AVENUE,10452,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2,1
2082941-DCA,507 WEST 28TH STREET PARKING CORP.,,BA-1011926-2022,Garage & Parking Lot,Premises,Active,03/07/2019,05/12/2025,NEW YORK,NY,10001,64193199,2025-02-25T23:38:14.000,2025-02-25T23:45:34.000,Homeless Person Assistance,,507 WEST   28 STREET,10001,ADDRESS,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",9,0
2110619-DCA,C & C PARKING LLC,,BA-1016150-2022,Garage & Parking Lot,Premises,Active,01/12/2023,06/22/2025,Bronx,NY,10459,64192310,2025-02-25T21:00:21.000,2025-02-25T21:25:02.000,Noise - Residential,Loud Music/Party,899 WESTCHESTER AVENUE,10459,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,22,12
2080791-DCA,ACB GARAGE LLC,,BA-1016517-2022,Garage & Parking Lot,Premises,Failed to Renew,12/18/2018,03/18/2025,NEW YORK,NY,10016,64194311,2025-02-26T17:54:40.000,,Unleashed Dog,Unleashed Dog in Public,626 1 AVENUE,10016,ADDRESS,In Progress,,13,0
2103954-DCA,BAKARY KOITA,,BA-1018236-2022,Pedicab Business,Premises,Expired,02/15/2022,11/01/2023,NEW YORK,NY,10030,64311620,2025-03-09T21:08:01.000,2025-03-09T21:08:01.000,Elevator,Elevator - Single Device On Property/No Alternate Service,117 WEST  141 STREET,10030,ADDRESS,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,11,0
2072499-DCA,38 SIXTH AVENUE PARKING CORP,,BA-1018702-2022,Garage & Parking Lot,Premises,Active,06/04/2018,05/14/2025,BROOKLYN,NY,11217,64199015,2025-02-26T22:24:52.000,2025-03-10T23:21:22.000,Smoking or Vaping,Allowed in Smoke Free Area,38 6 AVENUE,11217,ADDRESS,Closed,"The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed.",324,0
2083662-DCA,420 KENT GARAGE LLC,,BA-1023802-2022,Garage & Parking Lot,Premises,Active,03/25/2019,05/21/2025,BROOKLYN,NY,11249,64296188,2025-03-08T19:42:50.000,2025-03-08T20:55:50.000,Illegal Parking,Blocked Sidewalk,416 KENT AVENUE,11249,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,4,0
2112630-DCA,AEC HOMES LLC,,BA-1025672-2022,Home Improvement Contractor,Premises,Active,04/19/2023,02/28/2027,BROOKLYN,NY,11204,,,,,,,,,,,0,4
2067409-DCA,535 CARLTON AVENUE PARKING CORP,,BA-1031577-2022,Garage & Parking Lot,Premises,Failed to Renew,03/07/2018,12/05/2024,BROOKLYN,NY,11238,64230114,2025-03-01T13:55:27.000,2025-03-10T20:54:05.000,GENERAL,COOKING GAS,535 CARLTON AVENUE,11238,ADDRESS,Closed,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",22,4
2115856-DCWP,ECHO DRUGS INC.,Echo Care Specialty Pharmacy,BA-1047534-2022,Dealer In Products For The Disabled,Premises,Active,08/17/2023,03/15/2027,BROOKLYN,NY,11211,64404614,2025-03-19T17:12:30.000,2025-04-03T07:02:36.000,UNSANITARY CONDITION,PESTS,260 BROADWAY,10310,ADDRESS,Closed,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,7,0
2032546-2-DCA,BROADWAY FAMOUS DELI CORP.,,BA-1051665-2022,Tobacco Retail Dealer,Premises,Active,01/20/2016,12/31/2026,NEW YORK,NY,10034,64264750,2025-03-05T15:11:20.000,2025-03-06T00:00:00.000,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,4879 BROADWAY,10034,ADDRESS,Closed,The Department of Buildings reviewed this complaint and referred it to the Department of Sanitation for further action.,5,0
2096362-DCA,420 KENT GARAGE LLC,,BA-1053906-2022,Garage & Parking Lot,Premises,Active,09/09/2020,06/15/2025,BROOKLYN,NY,11249,64212565,2025-02-27T21:39:50.000,2025-02-28T01:29:03.000,Animal-Abuse,Other (complaint details),420 KENT AVENUE,11249,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6,3
2033384-1-DCA,ART GOURMET DELI CORP,,BA-1053908-2022,Tobacco Retail Dealer,Premises,Expired,02/17/2016,12/31/2023,BROOKLYN,NY,11211,64203348,2025-02-26T09:57:20.000,2025-02-26T13:20:33.000,Noise - Commercial,Banging/Pounding,484 UNION AVENUE,11211,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,34,0
2068599-DCA,AAR CONSTRUCTION CORP,,BA-1054037-2022,Home Improvement Contractor,Premises,Active,03/29/2018,02/28/2027,NEW YORK,NY,10032,,,,,,,,,,,0,1
1466301-DCA,ASIDO SOLUTIONS LLC,,BA-1071131-2022,Home Improvement Contractor,Premises,Failed to Renew,05/31/2013,02/28/2025,NEW YORK,NY,10009,64559321,2025-04-04T10:49:59.000,,GENERAL,COOKING GAS,430 EAST   20 STREET,10009,ADDRESS,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,3,0
0969516-DCA,"AMI PHARMACY, INC.",ST. JESUS PHARMACY,BA-1071364-2022,Dealer In Products For The Disabled,Premises,Expired,02/14/2003,03/15/2023,NEW YORK,NY,10033,64201025,2025-02-26T07:27:50.000,2025-02-26T19:47:15.000,HEAT/HOT WATER,ENTIRE BUILDING,4180 BROADWAY,10033,ADDRESS,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,42,0
1411598-DCA,AMEER FOOD GROCERY CORP,,BA-1072180-2022,Tobacco Retail Dealer,Premises,Expired,08/22/2013,12/31/2022,BRONX,NY,10457,64283416,2025-03-07T22:19:39.000,2025-03-07T23:07:54.000,Noise - Street/Sidewalk,Loud Music/Party,1964 GRAND CONCOURSE,10457,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11,0
2003146-805-DCA,BAGELS ON THE ISLAND CORP,,BA-1072877-2022,Tobacco Retail Dealer,Premises,Surrendered,02/03/2014,12/31/2025,STATEN ISLAND,NY,10310,,,,,,,,,,,0,1
1036915-DCA,160 PARKING CORP.,,BA-1073214-2022,Garage & Parking Lot,Premises,Active,06/08/2000,03/31/2027,MANHATTAN,NY,10021,64474105,2025-03-26T11:40:59.000,2025-03-26T12:34:53.000,Street Condition,Plate Condition - Noisy,160 EAST   65 STREET,10065,ADDRESS,Closed,"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",3,0
2023709-2-DCA,ADEN 1 DELI GROCERY CORP,,BA-1073231-2022,Tobacco Retail Dealer,Premises,Active,06/02/2015,12/31/2026,BRONX,NY,10469,,,,,,,,,,,0,1
2077797-DCA,518 EAST 138 STREET INC,,BA-1073441-2022,Electronics Store,Premises,Active,09/04/2018,12/31/2026,BRONX,NY,10454,64388823,2025-03-18T13:31:07.000,2025-03-20T18:57:35.000,PAINT/PLASTER,WALL,518 EAST  138 STREET,10454,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,7,0
2021214-DCA,Al El Construction LLC.,,BA-1074915-2022,Home Improvement Contractor,Premises,Expired,04/16/2015,02/28/2023,BRONX,NY,10454,,,,,,,,,,,0,1
2106696-DCA,1939 W FARMS RD PARKING CORP,,BA-1074934-2022,Garage & Parking Lot,Premises,Failed to Renew,06/10/2022,03/31/2025,BRONX,NY,10460,64269805,2025-03-06T07:12:11.000,2025-03-06T13:18:23.000,Noise - Vehicle,Car/Truck Horn,1939 WEST FARMS ROAD,10460,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,14,8
2098961-DCA,1699 NEW YORK AVE PARKING LLC,,BA-1075331-2022,Garage & Parking Lot,Premises,Suspended,05/27/2021,03/31/2027,BROOKLYN,NY,11210,64225168,2025-03-01T11:48:24.000,2025-03-27T01:06:37.000,UNSANITARY CONDITION,PESTS,3310 AVENUE H,11210,ADDRESS,Closed,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,4,1
2017062-1-DCA,AVENUE A DELI & FOOD INC.,,BA-1076284-2022,Tobacco Retail Dealer,Premises,Active,01/06/2015,12/31/2025,NEW YORK,NY,10009,,,,,,,,,,,0,1
2105668-DCA,ARENA PARKING LLC,ARENA PARKING,BA-1077906-2022,Garage & Parking Lot,Premises,Active,04/29/2022,03/31/2027,BROOKLYN,NY,11217,64222817,2025-02-28T21:00:43.000,2025-02-28T21:44:29.000,Illegal Parking,Blocked Hydrant,700 PACIFIC STREET,11217,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,54,0
2030605-2-DCA,2166 CONVENIENCE CORP,,BA-1077952-2022,Tobacco Retail Dealer,Premises,Active,11/19/2015,12/31/2026,NEW YORK,NY,10026,64261421,2025-03-05T12:03:03.000,2025-03-06T12:52:06.000,Street Condition,Dumpster - Construction Waste,2166 8 AVENUE,10026,ADDRESS,Closed,"The condition was inspected and it was in compliance with Department of Transportation standards, not hazardous, or a valid permit exists.",4,0
2096562-DCA,786 Fulton Inc,,BA-1077970-2022,Electronics Store,Premises,Expired,10/01/2020,12/31/2022,BROOKLYN,NY,11207,64231035,2025-03-01T10:25:57.000,2025-03-01T13:04:42.000,Noise - Street/Sidewalk,Loud Music/Party,2942 FULTON STREET,11207,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,1,1
2018501-2-DCA,A & N 99 C PLUS,,BA-1078800-2022,Tobacco Retail Dealer,Premises,Active,02/20/2015,12/31/2026,STATEN ISLAND,NY,10304,,,,,,,,,,,0,3
1156917-DCA,"250 J.B. FOOD CENTER, INC.",,BA-1078830-2022,Tobacco Retail Dealer,Premises,Active,06/11/2008,12/31/2025,BRONX,NY,10467,64188546,2025-02-25T21:14:57.000,2025-02-26T21:13:08.000,HEAT/HOT WATER,ENTIRE BUILDING,250 EAST GUN HILL ROAD,10467,ADDRESS,Closed,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",101,4
2047160-DCA,"337 GARAGE, L.L.C.",,BA-1078878-2022,Garage & Parking Lot,Premises,Expired,01/06/2017,03/31/2023,NEW YORK,NY,10065,64213119,2025-02-27T12:00:21.000,2025-02-27T12:01:20.000,Vendor Enforcement,Non-Food Vendor,337 EAST   64 STREET,10065,ADDRESS,Closed,,6,0
2082572-2-DCA,390 JACKSON DELI GROCERY CORP,,BA-1079296-2022,Tobacco Retail Dealer,Premises,Expired,02/26/2019,12/31/2024,BRONX,NY,10454,64405739,2025-03-19T22:20:28.000,2025-03-21T19:20:57.000,APPLIANCE,ELECTRIC/GAS RANGE,390 JACKSON AVENUE,10454,ADDRESS,Closed,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,8,0
2027746-DCA,675 MORRIS DISC. INC.,,BA-1079310-2022,Electronics Store,Premises,Expired,08/28/2015,12/31/2022,BRONX,NY,10451,64295084,2025-03-08T16:07:54.000,2025-03-23T13:06:02.000,DOOR/WINDOW,DOOR,675 MORRIS AVENUE,10451,ADDRESS,Closed,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,11,19
1336251-DCA,APPLE INC,,BA-1079410-2022,Electronic & Home Appliance Service Dealer,Premises,Active,10/16/2009,06/30/2026,NEW YORK,NY,10023,64236970,2025-03-02T15:44:10.000,2025-03-02T17:25:59.000,Panhandling,,1981 BROADWAY,10023,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,3,0
2095940-DCA,145 Broadway Wireless Inc,,BA-1079425-2022,Electronics Store,Premises,Expired,07/09/2020,12/31/2024,NEW YORK,NY,10031,64305039,2025-03-09T13:29:47.000,2025-03-09T14:35:08.000,Drug Activity,Use Indoor,3542 BROADWAY,10031,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3,0
2059847-DCA,AZE WIRELESS LLC,EZFIX,BA-1079851-2022,Secondhand Dealer - General,Premises,Ready for Renewal,10/25/2017,07/31/2025,BRONX,NY,10475,64267098,2025-03-05T14:31:31.000,2025-04-05T04:00:56.000,Consumer Complaint,Other Store (Non-Food),200 BAYCHESTER AVENUE,10475,ADDRESS,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,4,0
2048820-DCA,"AT&T MOBILITY SUPPLY, LLC",AT&T MOBILITY,BA-1080047-2022,Secondhand Dealer - General,Premises,Ready for Renewal,02/28/2017,07/31/2025,BRONX,NY,10468,64334370,2025-03-12T11:52:44.000,2025-03-26T12:50:52.000,Illegal Dumping,Removal Request,16 EAST FORDHAM ROAD,10468,ADDRESS,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,5,0
2068286-DCA,2 NORTH 6TH PARKING CORP,,BA-1080375-2022,Garage & Parking Lot,Premises,Active,03/23/2018,03/31/2027,BROOKLYN,NY,11249,64376458,2025-03-16T02:23:00.000,2025-03-17T18:00:00.000,Noise,"Noise: Boat(Engine,Music,Etc) (NR10)",2 NORTH    6 STREET,11249,ADDRESS,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,3,0
